timestamp,FromLot,Latitude,Longitude,Reason
2016-10-04 10:59:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-04 12:29:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-04 13:02:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-04 13:29:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-05 12:04:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-05 12:30:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-05 12:57:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-05 13:30:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-06 12:04:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-06 12:30:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-06 13:30:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-07 12:03:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-07 12:30:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-07 13:04:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-07 13:30:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-08 12:04:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-08 12:30:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-08 13:04:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-08 13:30:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-09 11:04:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-09 11:30:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-09 11:57:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-09 12:30:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-09 13:04:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-09 13:30:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-09 14:03:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-10 12:30:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-10 13:30:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-11 12:03:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-11 12:30:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-11 13:04:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-11 13:31:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-12 12:04:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-12 13:04:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-12 13:34:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
2016-10-13 12:31:00,BHMBCCMKT01,26.14453614,91.73617216,Overload
