ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,timestamp,price,TrafficScore,VehicleWeight,RawDemand,NormalizedDemand,Price1
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00,10.0,0.0,1.0,0.34228769497400346,-1.2282098669761055,5.0
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,10.684575389948009,0.0,1.0,0.344367417677643,-1.2229877649732879,5.0
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,11.373310225303292,0.0,1.0,0.5554592720970537,-0.692944411687312,5.149389118188816
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00,12.4842287694974,0.0,1.0,0.5741767764298094,-0.6459454936619545,5.478381544366319
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00,13.632582322357017,0.0,0.5,0.5539861351819758,-0.6966434006059742,5.1234961957581815
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,14.740554592720969,0.0,1.0,0.8227036395147315,-0.021904304325263392,9.846669869723156
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,04-10-2016,10:59:00,2016-10-04 10:59:00,16.385961871750432,1.0,2.0,1.2518197573656846,1.0555894089227467,17.389125862459224
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,04-10-2016,11:25:00,2016-10-04 11:25:00,19.8896013864818,0.5,1.0,1.1212305025996536,0.7276849206624986,15.093794444637489
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,04-10-2016,11:59:00,2016-10-04 11:59:00,22.632062391681107,0.5,,,,
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,04-10-2016,12:29:00,2016-10-04 12:29:00,,1.0,0.5,1.5344020797227038,1.7651425185555745,20.0
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,04-10-2016,13:02:00,2016-10-04 13:02:00,,1.0,1.0,1.3864818024263432,1.3937205136051798,19.756043595236257
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,high,7,0,04-10-2016,13:29:00,2016-10-04 13:29:00,,1.0,1.0,1.3823223570190644,1.383276309599545,19.682934167196816
